ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
12882427365,-24.7858867,-65.3999408,,,Nodo 12882427365
1176386784,-24.7858977,-65.3998154,,,Nodo 1176386784
1176386786,-24.7843626,-65.4002662,,,Nodo 1176386786
12259994544,-24.7843802,-65.4003846,,,Nodo 12259994544
12259994545,-24.7843822,-65.400421,,,Nodo 12259994545
1176386769,-24.7842928,-65.4016641,,,Nodo 1176386769
12884511705,-24.784234,-65.4026157,,,Nodo 12884511705
12884508873,-24.784226,-65.402746,,,Nodo 12884508873
12884511742,-24.781741,-65.4020875,,,Nodo 12884511742
1176386850,-24.7818152,-65.4020851,,,Nodo 1176386850
12259994525,-24.7819072,-65.4020766,,,Nodo 12259994525
1176386794,-24.782294,-65.4020026,,,Nodo 1176386794
4236758013,-24.7829072,-65.4018943,,,Nodo 4236758013
1176386734,-24.776133,-65.4096925,,,Nodo 1176386734
4240297251,-24.7761694,-65.40898,,,Nodo 4240297251
1387621149,-24.7761922,-65.4086878,,,Nodo 1387621149
1771509784,-24.7762185,-65.4083084,,,Nodo 1771509784
1182784155,-24.7989698,-65.4160765,,,Nodo 1182784155
1182784185,-24.7988615,-65.4173107,,,Nodo 1182784185
1387612683,-24.7988604,-65.4174633,,,Nodo 1387612683
6124295391,-24.7770264,-65.4152288,,,Nodo 6124295391
1392271461,-24.7769609,-65.4167665,,,Nodo 1392271461
1392271453,-24.7767805,-65.419489,,,Nodo 1392271453
1390716830,-24.7766807,-65.4208322,,,Nodo 1390716830
1260432719,-24.7872665,-65.4128235,,,Nodo 1260432719
1188226890,-24.7861443,-65.412693,,,Nodo 1188226890
2077087064,-24.7700703,-65.4229371,,,Nodo 2077087064
1188247559,-24.7701894,-65.4229493,,,Nodo 1188247559
2116945947,-24.7714325,-65.4230784,,,Nodo 2116945947
1392330374,-24.7727262,-65.4231953,,,Nodo 1392330374
1392334746,-24.7733343,-65.4232562,,,Nodo 1392334746
12886803313,-24.7738864,-65.423296,,,Nodo 12886803313
1170612412,-24.7739697,-65.423302,,,Nodo 1170612412
1170612386,-24.7740579,-65.4219617,,,Nodo 1170612386
1392334750,-24.7734222,-65.4218881,,,Nodo 1392334750
1392330375,-24.7728066,-65.4218317,,,Nodo 1392330375
1390875891,-24.8019598,-65.4228188,,,Nodo 1390875891
1390875887,-24.8016078,-65.4229156,,,Nodo 1390875887
4240682114,-24.8009917,-65.423048,,,Nodo 4240682114
1170591113,-24.8003665,-65.423209,,,Nodo 1170591113
1489824348,-24.7991428,-65.4234996,,,Nodo 1489824348
1170590640,-24.7977763,-65.4238093,,,Nodo 1170590640
1390875843,-24.7970943,-65.4239467,,,Nodo 1390875843
1387511773,-24.7951911,-65.423974,,,Nodo 1387511773
1387511772,-24.793939,-65.4238693,,,Nodo 1387511772
1387511771,-24.7926699,-65.4237703,,,Nodo 1387511771
1194373388,-24.7699964,-65.4256916,,,Nodo 1194373388
